audit_rank,audit_priority_score,audit_category,event_id,title,topic_group,is_oral,award,public_total_votes,github_url,github_repo,alphaxiv_github_stars,artifact_confidence,needs_manual_check_reason,live_status,live_qa_flags,live_license_spdx,live_pushed_at,live_pushed_age_days,audit_reason,manual_checks,alphaxiv_url,icml_url
63,656,high_signal_no_github,66025,Rex: A Family of Reversible Exponential (Stochastic) Runge-Kutta Solvers,Deep Learning,true,,6,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2502.08834,https://icml.cc/virtual/2026/poster/66025
64,654,high_signal_no_github,63808,DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation,General Machine Learning,true,,4,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2506.11653,https://icml.cc/virtual/2026/poster/63808
65,654,high_signal_no_github,63982,From Text to Forecasts: Bridging Modality Gap with Temporal Evolution Semantic Space,Deep Learning,true,,4,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2603.12664,https://icml.cc/virtual/2026/poster/63982
66,654,high_signal_no_github,62307,LASER: Learning Active Sensing for Continuum Field Reconstruction,Deep Learning,true,,4,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2604.19355,https://icml.cc/virtual/2026/poster/62307
67,654,high_signal_no_github,61046,Rational Transductors,Theory,true,,4,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2602.07599,https://icml.cc/virtual/2026/poster/61046
68,654,high_signal_no_github,66107,VALUEFLOW: Toward Pluralistic and Steerable Value-based Alignment in Large Language Models,Social Aspects,true,,4,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2602.03160,https://icml.cc/virtual/2026/poster/66107
69,653,high_signal_no_github,63070,Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-dimensional Control Tasks,Theory,true,,3,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2605.22305,https://icml.cc/virtual/2026/poster/63070
70,653,high_signal_no_github,66340,Error Propagation Mechanisms and Compensation Strategies for Quantized Diffusion Models,General Machine Learning,true,,3,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2508.12094,https://icml.cc/virtual/2026/poster/66340
71,653,high_signal_no_github,64653,Focus and Dilution: The Multi-stage Learning Process of Attention,Deep Learning,true,,3,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2605.01199,https://icml.cc/virtual/2026/poster/64653
72,653,high_signal_no_github,61494,Large Language Models Develop Novel Social Biases Through Adaptive Exploration,Social Aspects,true,,3,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2511.06148,https://icml.cc/virtual/2026/poster/61494
73,653,high_signal_no_github,65678,Nash Equilibria in Games with Playerwise Concave Coupling Constraints: Existence and Computation,Theory,true,,3,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2509.14032,https://icml.cc/virtual/2026/poster/65678
74,653,high_signal_no_github,65870,On the Convergence Rate of LoRA Gradient Descent,Optimization,true,,3,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2512.18248,https://icml.cc/virtual/2026/poster/65870
75,652,high_signal_no_github,61430,Exact Functional ANOVA Decomposition for Categorical Inputs,General Machine Learning,true,,2,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2603.02673,https://icml.cc/virtual/2026/poster/61430
76,652,high_signal_no_github,60683,Joint Learning in the Gaussian Single Index Model,Theory,true,,2,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2505.21336,https://icml.cc/virtual/2026/poster/60683
77,652,high_signal_no_github,63330,Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust?,Applications,true,,2,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2605.20606,https://icml.cc/virtual/2026/poster/63330
78,652,high_signal_no_github,65504,Optimal and Scalable MAPF via Multi-Marginal Optimal Transport and Schrödinger Bridges,Applications,true,,2,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2605.10917,https://icml.cc/virtual/2026/poster/65504
79,652,high_signal_no_github,67085,Position: Irresponsible AI: big tech’s influence on AI research and associated impacts,Social Aspects,true,,2,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2512.03077,https://icml.cc/virtual/2026/poster/67085
80,652,high_signal_no_github,66583,Rare Event Analysis of Large Language Models,Deep Learning,true,,2,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2602.06791,https://icml.cc/virtual/2026/poster/66583
81,652,high_signal_no_github,66471,SVRG and Beyond via Posterior Correction,Probabilistic Methods,true,,2,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2512.01930,https://icml.cc/virtual/2026/poster/66471
82,652,high_signal_no_github,63664,Stabilizing the Q-Gradient Field for Policy Smoothness in Actor-Critic Methods,Reinforcement Learning,true,,2,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2601.22970,https://icml.cc/virtual/2026/poster/63664
83,651,high_signal_no_github,62508,Asymmetric Perturbation in Solving Bilinear Saddle-Point Optimization,Theory,true,,1,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2506.05747,https://icml.cc/virtual/2026/poster/62508
84,651,high_signal_no_github,62400,DiScoFormer: Plug-In Density and Score Estimation with Transformers,General Machine Learning,true,,1,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2511.05924,https://icml.cc/virtual/2026/poster/62400
85,651,high_signal_no_github,62420,Evaluating Robustness of Reasoning Models on Parameterized Logical Problems,Deep Learning,true,,1,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2602.12665,https://icml.cc/virtual/2026/poster/62420
86,651,high_signal_no_github,62887,FlashSketch: Sketch-Kernel Co-Design for Fast Sparse Sketching on GPUs,General Machine Learning,true,,1,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2602.06071,https://icml.cc/virtual/2026/poster/62887
87,651,high_signal_no_github,61380,From Feasible to Practical: Pareto-Optimal Synthesis Planning,Applications,true,,1,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2605.07521,https://icml.cc/virtual/2026/poster/61380
88,651,high_signal_no_github,63259,Incentivizing Truthfulness and Collaborative Fairness in Bayesian Learning,Social Aspects,true,,1,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2605.11889,https://icml.cc/virtual/2026/poster/63259
89,651,high_signal_no_github,63899,PRISM: Gauge-Invariant Tangent-Space Differentially Private LoRA,Social Aspects,true,,1,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2606.00944,https://icml.cc/virtual/2026/poster/63899
90,650,high_signal_no_github,64138,AI Engram: In Search of Memory Traces in Artificial Intelligence,Applications,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/64138
91,650,high_signal_no_github,65816,CAT-Q: Cost-efficient and Accurate Ternary Quantization for LLMs,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/65816
92,650,high_signal_no_github,63530,CausalGame: Benchmarking Causal Thinking of LLM Agents in Games,Other,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/63530
93,650,high_signal_no_github,61834,Characterizing Agents in Production,General Machine Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/61834
94,650,high_signal_no_github,61526,CoEvol-NO: State and Coordinate Co-Evolution with an Error-Driven Predictor-Corrector Paradigm for Neural Operator Transformer,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/61526
95,650,high_signal_no_github,61370,"ConFlux: Multivariate Time Series in Flux, One Unified Forecast in Confluence",Applications,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/61370
96,650,high_signal_no_github,64161,DOUBT: Decoupled Object-level Understanding and Bridging via vMF-based Trustworthiness for Hallucination Detection in MLLMs,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/64161
97,650,high_signal_no_github,62171,DPO Unchained: Your Training Algorithm is Secretly Disentangled in Human Choice Theory (and Its Loss' Convexity is Dispensable),Theory,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/62171
98,650,high_signal_no_github,65483,Detecting the Semantic Fixed Point: A Geometric Framework for Efficient Inference,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/65483
99,650,high_signal_no_github,63441,Diffract: Spectral View of LLM Domain Adaptation,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/63441
100,650,high_signal_no_github,61840,Don't Force the Fit: Bounded Log-Likelihood Loss for Enhanced Reasoning in Large Language Models,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/61840
101,650,high_signal_no_github,60907,DroneDINO: Towards Heterogeneous Routed Mixture of Experts for Drone-based Unified Object Detection,Applications,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/60907
102,650,high_signal_no_github,63852,Equilibrium Pricing in Oligopolistic Data Markets,Other,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/63852
103,650,high_signal_no_github,63684,FLIP2: Expanding Protein Fitness Landscape Benchmarks for Real-World Machine Learning Applications,Other,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/63684
104,650,high_signal_no_github,61061,Faster Activation Functions at the Edge for Post-Training Speedups,Other,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/61061
105,650,high_signal_no_github,65064,FlatLand: Personalized Graph Federated Learning via Tailored Lorentz Space,Other,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/65064
106,650,high_signal_no_github,63078,Foundations of Equivariant Deep Learning: Unifying Graph and Sheaf Neural Networks,Other,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/63078
107,650,high_signal_no_github,64932,Geometric Flow Grounding: A Unified Manifold Decoupling Framework for Dynamics Discovery and Verification,Applications,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/64932
108,650,high_signal_no_github,60784,GoodDiffusion: Proactive Copyright Protection for Diffusion Generative Models via Learnable Sample-specific Signatures,Social Aspects,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/60784
109,650,high_signal_no_github,60884,Information Flow Reveals When to Trust Language Models,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/60884
110,650,high_signal_no_github,63286,Lottery Prior: Randomized Neural Compression for Zero-Shot Inverse Problems,Applications,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/63286
111,650,high_signal_no_github,60641,MV-FGAD: Towards Efficient and Effective Federated Graph Anomaly Detection via Multi-view Learning,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/60641
112,650,high_signal_no_github,62587,Minimax Optimal Strategy for Delayed Observations in Online Reinforcement Learning,Theory,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2603.03480,https://icml.cc/virtual/2026/poster/62587
113,650,high_signal_no_github,65954,Multimodal Nested Learning for Decoupled and Coordinated Optimization,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/65954
114,650,high_signal_no_github,65102,MuonSSM: Orthogonalizing State Space Models for Sequence Modeling,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/65102
115,650,high_signal_no_github,65761,Necessary Conditions for Compositional Generalization of Embedding Models,Other,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/65761
116,650,high_signal_no_github,65974,On Minimum Depth and Width of Floating-Point Neural Networks for Representing Floating-Point Functions,Theory,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/65974
117,650,high_signal_no_github,66099,On the Identifiability of Poisson Branching Structural Causal Model Under Latent Confounding,Other,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/66099
118,650,high_signal_no_github,61615,On the Limits of LLM Adaptability: Impact of LLM Pre-Training on Annotation Task Performance,Social Aspects,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/61615
119,650,high_signal_no_github,60879,Path-dependent Discrete Amortized Inference,Probabilistic Methods,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/60879
120,650,high_signal_no_github,65858,PhenoBrain: Phenotype-Conditioned Long-Range Communication for Multi-Modal Brain Network Analysis,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/65858
121,650,high_signal_no_github,63474,PhotoAgent: Exploratory Visual Aesthetic Planning with Large Vision Models,Applications,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/63474
122,650,high_signal_no_github,67203,Position: AI Should Facilitate Democratic Deliberation at Scale,Applications,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/67203
123,650,high_signal_no_github,67142,"Position: Don't Just ""Fix it in Post'': A Science of AI Must Study Learning Dynamics",Other,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/67142
124,650,high_signal_no_github,67249,Position: The AI Imperative: Scaling High-Quality Peer Review in Machine Learning,Social Aspects,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2506.08134,https://icml.cc/virtual/2026/poster/67249
125,650,high_signal_no_github,67149,Position: There are futures that benchmark-driven AI cannot see,Other,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/67149
126,650,high_signal_no_github,62535,Privacy-Aware Video Anomaly Detection: Guided Orthogonal Projection and a Comprehensive Evaluation Framework,General Machine Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/62535
127,650,high_signal_no_github,63073,ReQAT: Achieving Full-Precision Reasoning Accuracy with 4-bit Floating-Point Quantization-Aware Training,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/63073
128,650,high_signal_no_github,62510,ReViT: Rotational-equivariant Vision Transformers for Neural PDE Solvers,Applications,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/62510
129,650,high_signal_no_github,61773,Revenue Efficiency of Correlated Equilibria in First Price Auctions,Theory,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/61773
130,650,high_signal_no_github,64721,Riemannian Metric Matching for Scalable Geometric Modeling of Distributions,Other,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/64721
131,650,high_signal_no_github,66499,Robust Contextual Optimization with Missing Covariates,Optimization,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/66499
132,650,high_signal_no_github,64633,Robust Harmful Features Under Jailbreak Attacks: Mechanistic Evidence from Attention Head Specialization in Large Language Models,Social Aspects,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/64633
133,650,high_signal_no_github,60645,Scalable Event Cloud Network for Event-based Classification,General Machine Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/60645
134,650,high_signal_no_github,64595,Second-Order Smooth Planning with Optimal-Transport Bellman Smoothing,Other,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/64595
135,650,high_signal_no_github,66760,Solving Time-Dependent Differential Equations with Physical Dynamical Systems,Other,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/66760
136,650,high_signal_no_github,65576,SpatioLM: Towards General Physical Spatial Intelligence in Vision-Language Models,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/65576
137,650,high_signal_no_github,63556,TG-RAG: A Retrieval-Augmented Framework for Reasoning Guidance in Specialized Domains,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/63556
138,650,high_signal_no_github,60738,The Expressivity Limits of Transformers,Theory,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/60738
139,650,high_signal_no_github,62056,Towards Fair Sequential Decision-Making: A Causal Decomposition Approach,General Machine Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/62056
140,650,high_signal_no_github,65990,Towards Hierarchy–Uniformity Equilibrium: Recovering Semantic Depth in Hypergraph Contrastive Learning,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/65990
141,650,high_signal_no_github,64402,Towards Sub-second Biological Foundation Model Infrastructure: A Quantized Consistency Diffusion Framework for Molecular Docking,Applications,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/64402
142,650,high_signal_no_github,66821,Understanding Reasoning Collapse in LLM Agent Reinforcement Learning,Deep Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/66821
143,650,high_signal_no_github,66728,Unsupervised Partner Design Enables Robust Ad-hoc Teamwork,Reinforcement Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2508.06336,https://icml.cc/virtual/2026/poster/66728
144,650,high_signal_no_github,65169,Video-Based Optimal Transport for Feedback-Efficient Offline Preference-Based Reinforcement Learning,Reinforcement Learning,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/65169
145,650,high_signal_no_github,66240,What Preferences Can—and Cannot—Predict in Multi-Agent Online Learning,Theory,true,,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/66240
146,645,linked_needs_repro_check,64377,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,Deep Learning,true,,89,https://github.com/sierra-research/tau2-bench,sierra-research/tau2-bench,1569,github_url_with_stars,,live,,MIT,2026-07-14T03:01:06Z,0,"GitHub URL exists; inspect runnable code, data/checkpoints, license, and reproduction instructions.",artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2506.07982,https://icml.cc/virtual/2026/poster/64377
147,611,linked_needs_repro_check,63095,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,Other,true,,89,https://github.com/aiming-lab/Agent0,aiming-lab/Agent0,1228,github_url_with_stars,,live,,Apache-2.0,2026-07-10T07:54:20Z,4,"GitHub URL exists; inspect runnable code, data/checkpoints, license, and reproduction instructions.",artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2511.19900,https://icml.cc/virtual/2026/poster/63095
