semantic_cluster_id,area,subarea,taxonomy_confidence,review_status,review_notes,semantic_cluster_label,paper_count,oral_count,award_count,votes_per_paper,oral_enrichment,top_terms,top_topic_groups,top_themes,top_lexical_clusters,central_papers,high_signal_papers
27,"AI for Science, Health, and Neuro","Protein, molecule, and biological modeling",high,needs_review,split across lexical clusters,protein / molecular / chemistry / applications,148,5,0,2.72,1.33,protein; molecular; chemistry; applications; physics; design; physics earth; earth sciences; applications chemistry; chemistry physics; earth; sciences; medicine; structure; applications health; health medicine,Applications (120); Deep Learning (13); Unknown (7); General Machine Learning (5); Optimization (1),"AI for science, health, and biology (140); Memorization, evaluation, and generalization (79); Diffusion, flow, and generative modeling (61); Theory, optimization, and sampling (52); Agents, tools, and computer use (50)",15 (61); 17 (35); 25 (20); 3 (12); 11 (4),CoarseBind: Fast and Accurate Binding Affinity Prediction through Coarse Structural Representations | Protein Language Model Embeddings Improve Generalization of Implicit Transfer Operators | Controllable Molecule Generation via Sparse Representation Editing: An Interpretability-Driven Perspective | SLAE: Strictly Local All-atom Environment for Protein Representation | SynLaD: Latent Diffusion for Generating Synthesizable Molecules Conditioned on 3D Pharmacophore Profiles | Inference-time optimization for experiment-grounded protein ensemble generation | FlexiFlow: decomposable flow matching for generation of flexible molecular ensemble | Learning Molecular Semantic Invariant Representation with Prototype Constraint,Protein Autoregressive Modeling via Multiscale Structure Generation | Protein Fold Classification at Scale: Benchmarking and Pretraining | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning | Towards Sub-second Biological Foundation Model Infrastructure: A Quantized Consistency Diffusion Framework for Molecular Docking | FLIP2: Expanding Protein Fitness Landscape Benchmarks for Real-World Machine Learning Applications | Adaptive Protein Tokenization | MADE: Benchmark Environments for Closed-Loop Materials Discovery | FRIGID: Scaling Diffusion-Based Molecular Generation from Mass Spectra at Training and Inference Time
28,"Theory, Optimization, and Algorithms","Convex, stochastic, and nonconvex optimization",high,stable_seed,,convergence / optimization / stochastic / convex,127,3,0,3.25,0.93,convergence; optimization; stochastic; convex; gradient; descent; rate; non; convergence rate; sgd; order; algorithm; gradient descent; problems; smooth; theory,Optimization (76); Theory (29); Unknown (7); Deep Learning (5); Probabilistic Methods (4),"Theory, optimization, and sampling (125); LLM reasoning and test-time compute (33); Systems, efficiency, and compression (33); Memorization, evaluation, and generalization (28); Safety, alignment, governance, and risk (27)",22 (62); 9 (54); 26 (3); 20 (2); 12 (2),"Convergence Analysis of Decentralized Hessian-/Jacobian-Free Algorithm for Nonconvex Stochastic Bilevel Optimization | Mirror Descent Under Generalized Smoothness | Safeguarded Stochastic Polyak Step Sizes for Non-smooth Optimization: Robust Performance Without Small (Sub)Gradients | Can Adaptive Gradient Methods Converge under Heavy-Tailed Noise? A Case Study of AdaGrad | Lions and Muons: Optimization via Stochastic Frank-Wolfe | Last-Iterate Convergence of Regularized Gradient Methods for Stochastic Monotone Variational Inequalities | Taming Stochastic Gradient Descent: Almost Sure Convergence and Saddle-Point Avoidance under $(L_{0},L_{1})$-Smoothness | Stability Analysis of Sharpness-Aware Minimization",Non-Euclidean Gradient Descent Operates at the Edge of Stability | On the Convergence Rate of LoRA Gradient Descent | Asymmetric Perturbation in Solving Bilinear Saddle-Point Optimization | A Fully First-Order Layer for Differentiable Optimization | KromHC: Manifold-Constrained Hyper-Connections with Kronecker-Product Residual Matrices | Improved Stochastic Optimization of LogSumExp | OLion: Approaching the Hadamard Ideal by Intersecting Spectral and L inf Implicit Biases | Local Constrained Bayesian Optimization
29,Systems and Efficient Foundation Models,"Serving, GPU memory, MoE, and throughput",high,stable_seed,,llm / memory / gpu / throughput,116,5,0,6.16,1.7,llm; memory; gpu; throughput; serving; moe; latency; routing; large; inference; hardware; times; workloads; large language; language; language models,Deep Learning (57); General Machine Learning (21); Unknown (13); Optimization (13); Applications (8),"Systems, efficiency, and compression (89); LLM reasoning and test-time compute (62); Theory, optimization, and sampling (56); Memorization, evaluation, and generalization (43); RL for LLMs and verifiable rewards (37)",21 (60); 12 (10); 13 (9); 11 (8); 20 (7),"Understand and Accelerate Memory Processing Pipeline for Large Language Model Inference | ReMoE: Boosting Expert Reuse through Router Fine-Tuning in Memory-Constrained MoE LLM Inference | Revisiting Efficiency–Accuracy Scaling in Mixture-of-Experts Architectures | ZipMoE: Efficient On-Device MoE Serving via Lossless Compression and Cache-Affinity Scheduling | FlashOptim: Memory Efficient Optimizers for Large-Scale Training | cMoLLM at Scale: Horizontal Scaling Laws for Convolutionally-Gated Mixture-of-LLMs | Position: LLM Serving Needs Mathematical Optimization and Algorithmic Foundations, Not Just Heuristics | PinTok: Tokenizers Deserve Dedicated Pinned CPU-Compute and Memory",FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU | ECHO: Elastic Speculative Decoding with Sparse Gating for High-Concurrency Scenarios | POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation | FlashSketch: Sketch-Kernel Co-Design for Fast Sparse Sketching on GPUs | Faster Activation Functions at the Edge for Post-Training Speedups | When RL Meets Adaptive Speculative Training: A Unified Training-Serving System | DITRON: Distributed Multi-level Tiling Compiler for Parallel Tensor Programs | SpecForge: A Flexible and Efficient Open-Source Training Framework for Speculative Decoding
30,"Agents, Code, and Tool Use","Multi-agent search, planning, and coordination",high,needs_review,split across lexical clusters,agent / multi / search / agents,150,4,0,16.96,1.05,agent; multi; search; agents; optimization; llm; multi agent; language; large language; large; based; task; planning; language models; reinforcement; evolutionary,Deep Learning (78); Optimization (18); Reinforcement Learning (18); General Machine Learning (12); Unknown (12),"Agents, tools, and computer use (109); Memorization, evaluation, and generalization (96); LLM reasoning and test-time compute (94); Theory, optimization, and sampling (82); RL for LLMs and verifiable rewards (67)",11 (57); 20 (21); 1 (14); 17 (14); 6 (9),CoPE: A Framework for Optimizing Coordination between Planning and Execution in LLM-based Agents | POLCA: Stochastic Generative Optimization with LLM | Language-based Trial and Error Falls Behind in the Era of Experience | ML-Agent: Reinforcing LLM Agents for Autonomous Machine Learning Engineering | MonoScale: Scaling Multi-Agent System with Monotonic Improvement | TRIP-Bench: A Benchmark for Long-Horizon Interactive Agents in Real-World Scenarios | Learning to Explore: Scaling Agentic Reasoning via Exploration-Aware Policy Optimization | Towards Cold-Start Drafting and Continual Refining: A Value-Driven Memory Approach with Application to NPU Kernel Synthesis,Guaranteed Optimal Compositional Explanations for Neurons | OMAC: A Holistic Optimization Framework for LLM-Based Multi-Agent Collaboration | Unsupervised Partner Design Enables Robust Ad-hoc Teamwork | From Feasible to Practical: Pareto-Optimal Synthesis Planning | Learning to Discover at Test Time | Meta Context Engineering via Agentic Skill Evolution | Graph-R1: Towards Agentic GraphRAG Framework via End-to-end Reinforcement Learning | Evolution Strategies at Scale: LLM Fine-Tuning Beyond Reinforcement Learning
31,"Data-Centric, Causal, and Federated ML",Federated learning and distributed clients,high,needs_review,split across lexical clusters,federated / federated learning / clients / client,85,1,0,1.02,0.46,federated; federated learning; clients; client; fl; data; heterogeneity; aggregation; privacy; communication; local; global; learning fl; heterogeneous; personalized; decentralized,General Machine Learning (29); Deep Learning (19); Social Aspects (16); Optimization (10); Applications (5),"Safety, alignment, governance, and risk (66); Theory, optimization, and sampling (53); Systems, efficiency, and compression (43); Memorization, evaluation, and generalization (38); Agents, tools, and computer use (18)",17 (28); 25 (21); 12 (11); 20 (5); 26 (3),Breaking the Capacity Bottleneck in Model-Heterogeneous Federated Learning via Gradual Model Restoration | FedReLa: Imbalanced Federated Learning via Re-Labeling | BESplit: Bias-Compensated Split Federated Learning with Evidential Aggregation | Personalized Additive Modeling for Multi-level Federated Learning | Beyond the Trade-off: Unifying Fairness and Performance in Federated Learning | Decoupled Low-Rank Adaptation for Robust Federated Fine-Tuning | FedPissa: Towards Federated Personalized Adaptation of Foundation Models via LoRA Subspace Mapping | FedGain: Toward Negative-Gain-Free Client Collaboration in Federated Learning,Incentivizing Truthfulness and Collaborative Fairness in Bayesian Learning | PluRel: Synthetic Data unlocks Scaling Laws for Relational Foundation Models | Is Data Shapley Not Better than Random in Data Selection? Ask NASH | FedHPro: Federated Hyper-Prototype Learning via Gradient Matching | Delayed Momentum Aggregation: Communication-efficient Byzantine-robust Federated Learning with Partial Participation | Can Recommender Systems Teach Themselves? A Recursive Self-Improving Framework with Fidelity Control | UB-SMoE: Universally Balanced Sparse Mixture-of-Experts for Resource-adaptive Federated Fine-tuning of Foundation Models | Social Hippocampus Memory Learning
32,"Theory, Optimization, and Algorithms",Bayesian and probabilistic methods,high,stable_seed,,bayesian / probabilistic / posterior / probabilistic methods,125,6,0,2.5,1.89,bayesian; probabilistic; posterior; probabilistic methods; methods; inference; uncertainty; data; methods bayesian; variational; bayesian models; sampling; distribution; models methods; likelihood; monte,Probabilistic Methods (76); Applications (10); General Machine Learning (9); Deep Learning (8); Optimization (8),"Theory, optimization, and sampling (112); Diffusion, flow, and generative modeling (52); Memorization, evaluation, and generalization (48); Safety, alignment, governance, and risk (38); Systems, efficiency, and compression (36)",17 (73); 9 (23); 3 (8); 22 (5); 14 (3),Predictive variational inference: Learn the predictively optimal posterior distribution | Monotonic Variational Gaussian Process for Efficient Data Collection | FIRE: Multi-fidelity Regression with Distribution-conditioned In-context Learning using Tabular Foundation Models | Distribution Transformers: Fast Approximate Bayesian Inference With On-The-Fly Prior Adaptation | Multi-Task Bayesian In-Context Learning | Diffusion posterior sampling for simulation-based inference in tall data settings | Transformers Can Learn Posterior Predictive Distributions In-Context | Robust Bayes-Assisted Conformal Prediction,DiScoFormer: Plug-In Density and Score Estimation with Transformers | Markov Chain Monte Carlo without Evaluating the Target: an Auxiliary Variable Approach | Disentangling Latent Risk Pathways via Bayesian Hypergraph Inference | SVRG and Beyond via Posterior Correction | Robust Contextual Optimization with Missing Covariates | Path-dependent Discrete Amortized Inference | ProEval: Proactive Failure Discovery and Efficient Performance Estimation for Generative AI Evaluation | Variational Learning of Disentangled Representations
33,"Theory, Optimization, and Algorithms","Online learning, bandits, and regret",high,stable_seed,,regret / online / bandits / algorithm,172,8,0,3.67,1.83,regret; online; bandits; algorithm; optimal; theory; online learning; bound; learning bandits; problem; bounds; sqrt; algorithms; study; setting; mathcal,Theory (97); General Machine Learning (27); Unknown (12); Social Aspects (11); Reinforcement Learning (9),"Theory, optimization, and sampling (163); Agents, tools, and computer use (48); Safety, alignment, governance, and risk (44); LLM reasoning and test-time compute (43); RL for LLMs and verifiable rewards (37)",9 (151); 7 (5); 17 (5); 24 (3); 23 (2),Improved Algorithms for Nash Welfare in Linear Bandits | Follow-the-Perturbed-Leader for Decoupled Bandits: Best-of-Both-Worlds and Practicality | Online Social Welfare Function-based Resource Allocation | Online Conformal Prediction via Universal Portfolio Algorithms | Understanding the Gaps in Satisficing Bandits | A Perturbation Approach to Unconstrained Linear Bandits | Stronger Benchmarks for Prediction as a Service with Constraints | Finite and Corruption-Robust Regret Bounds in Online Inverse Linear Optimization under M-Convex Action Sets,Minimax Optimal Strategy for Delayed Observations in Online Reinforcement Learning | Nash Equilibria in Games with Playerwise Concave Coupling Constraints: Existence and Computation | Towards Fair Sequential Decision-Making: A Causal Decomposition Approach | What Preferences Can—and Cannot—Predict in Multi-Agent Online Learning | Second-Order Smooth Planning with Optimal-Transport Bellman Smoothing | Equilibrium Pricing in Oligopolistic Data Markets | DPO Unchained: Your Training Algorithm is Secretly Disentangled in Human Choice Theory (and Its Loss' Convexity is Dispensable) | Revenue Efficiency of Correlated Equilibria in First Price Auctions
34,Generative Modeling,Image/video diffusion and flow generation,high,stable_seed,,diffusion / generative / image / generative models,243,2,0,10.62,0.32,diffusion; generative; image; generative models; generation; diffusion models; learning generative; models autoencoders; autoencoders; quality; flow; training; deep; latent; deep learning; matching,Deep Learning (155); Applications (48); Unknown (19); Social Aspects (9); General Machine Learning (8),"Diffusion, flow, and generative modeling (230); Multimodal, vision-language, and video (203); Theory, optimization, and sampling (117); Systems, efficiency, and compression (98); Safety, alignment, governance, and risk (94)",3 (173); 0 (23); 10 (8); 25 (7); 17 (6),Self-Supervised Flow Matching for Scalable Multi-Modal Synthesis | Both Semantics and Reconstruction Matter: Making Representation Encoders Ready for Text-to-Image Generation and Editing | Variational Flow Maps: Make Some Noise for One-Step Conditional Generation | Contrastive Flow Map Matching | ProtoVAR: Efficient Dataset Distillation via Prototype-Guided Visual Autoregressive Modeling | RT-Lynx: Putting the GEMM Sparsity In a Right Way for Diffusion Models | Multimodal Latent Language Modeling with Next-Token Diffusion | One-step Optimal Transport via Regularized Distribution Matching Distillation,Transforming Weather Data from Pixel to Latent Space | Error Propagation Mechanisms and Compensation Strategies for Quantized Diffusion Models | Self-Prompting Diffusion Transformer for Open-Vocabulary Scene Text Edit via In-Context Learning | Causal Forcing: Autoregressive Diffusion Distillation Done Right for High-Quality Real-Time Video Generation | Self-Supervised Flow Matching for Scalable Multi-Modal Synthesis | One-step Latent-free Image Generation with Pixel Mean Flows | DyPE: Dynamic Position Extrapolation for Ultra High Resolution Diffusion | Latent Forcing: Reordering the Diffusion Trajectory for Pixel-Space Image Generation
35,"LLM Reasoning, Post-Training, and RLVR",RL for reasoning models and verifiable rewards,high,stable_seed,,reasoning / rl / reinforcement / reinforcement learning,161,2,0,38.76,0.49,reasoning; rl; reinforcement; reinforcement learning; language models; language; large; large language; training; reward; rewards; rlvr; policy; verifiable; llms; learning large,Deep Learning (99); Unknown (20); Reinforcement Learning (19); Applications (10); Theory (6),"LLM reasoning and test-time compute (161); RL for LLMs and verifiable rewards (141); Memorization, evaluation, and generalization (114); Theory, optimization, and sampling (101); Systems, efficiency, and compression (82)",6 (106); 13 (17); 1 (16); 12 (6); 20 (4),"Resource-Efficient Reinforcement for Reasoning Large Language Models via Dynamic One-Shot Policy Refinement | Prioritize the Process, Not Just the Outcome: Rewarding Latent Thought Trajectories Improves Reasoning in Looped Language Models | Breaking the Exploration Bottleneck: Rubric-Scaffolded Reinforcement Learning for General LLM Reasoning | Decoupling Reasoning and Confidence: Resurrecting Calibration in Reinforcement Learning from Verifiable Rewards | Plan Then Action: High-Level Planning Guidance Reinforcement Learning for LLM Reasoning | h1: Bootstrapping LLMs to Reason over Longer Horizons via Reinforcement Learning | Depth-Breadth Synergy in RLVR: Unlocking LLM Reasoning Gains with Adaptive Exploration | On the Interplay of Pre-Training, Mid-Training, and RL on Reasoning Language Models","ThreadWeaver: Adaptive Threading for Efficient Parallel Reasoning in Language Models | Don't Force the Fit: Bounded Log-Likelihood Loss for Enhanced Reasoning in Large Language Models | Process Reward Models That Think | On the Interplay of Pre-Training, Mid-Training, and RL on Reasoning Language Models | Spurious Rewards: Rethinking Training Signals in RLVR | Scaling Generative Verifiers For Natural Language Mathematical Proof Verification And Selection | Towards Efficient Large Language Reasoning Models via Extreme-Ratio Chain-of-Thought Compression | RLVE: Scaling Up Reinforcement Learning for Language Models with Adaptive Verifiable Environments"
36,"Multimodal, Vision, and Perception","Vision robustness, detection, and adversarial perception",medium,needs_review,manual confidence not high; split across lexical clusters,detection / vision / image / robustness,177,3,0,2.95,0.67,detection; vision; image; robustness; computer vision; computer; applications computer; adversarial; feature; semantic; methods; applications; images; extensive; features; performance,Applications (84); Deep Learning (39); Social Aspects (27); General Machine Learning (14); Unknown (12),"Multimodal, vision-language, and video (154); Safety, alignment, governance, and risk (109); Memorization, evaluation, and generalization (104); Theory, optimization, and sampling (63); Systems, efficiency, and compression (53)",25 (75); 10 (25); 2 (22); 17 (10); 14 (7),Less Precise Can Be More Reliable: A Systematic Evaluation of Quantization’s Impact on VLMs Beyond Accuracy | Target-Agnostic Calibration under Distribution Shift with Frequency-Aware Gradient Rectification | Robust Vision-Language Models via Manifold-Adversarial Adapters | Self-Calibrated Consistency can Fight Back for Adversarial Robustness in Vision-Language Models | DNA: Uncovering Universal Latent Forgery Knowledge | Suppress and Diversify: Refining Robust Pathways for Corruption Robustness | The Extra Tokens Matter: Disentangled Representation Learning with Vision Transformers | On the Adversarial Robustness of Large Vision-Language Models under Visual Token Compression,Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust? | DroneDINO: Towards Heterogeneous Routed Mixture of Experts for Drone-based Unified Object Detection | Privacy-Aware Video Anomaly Detection: Guided Orthogonal Projection and a Comprehensive Evaluation Framework | Alterbute: Editing Intrinsic Attributes of Objects in Images | Rectified LpJEPA: Joint-Embedding Predictive Architectures with Sparse and Maximum-Entropy Representations | Is Training Necessary for Anomaly Detection? | GenShield: Unified Detection and Artifact Correction for AI-Generated Images | OmniAID: Decoupling Semantic and Artifacts for Universal AI-Generated Image Detection in the Wild
37,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",high,stable_seed,,ai / position / social / position paper,173,10,2,5.13,2.28,ai; position; social; position paper; aspects; social aspects; human; argues; research; paper; paper argues; argue; systems; safety; evaluation; agents,Social Aspects (113); Applications (18); General Machine Learning (18); Unknown (13); Theory (6),"Safety, alignment, governance, and risk (143); Agents, tools, and computer use (85); Memorization, evaluation, and generalization (70); Interpretability and mechanistic analysis (61); RL for LLMs and verifiable rewards (47)",28 (109); 11 (20); 23 (16); 17 (9); 1 (7),Position: Preregister Experiments with AI Agents | Position: Reliable AI Needs to Externalize Implicit Knowledge: A Human–AI Collaboration Perspective | A Positive Case for Faithfulness: Explanations Help Predict Model Behavior | Position: The Age of AI Agents Demands A New Scientific Paradigm To Sustain Trustworthy Science | Calibrating Conservatism for Scalable Oversight | Position: The AI Imperative: Scaling High-Quality Peer Review in Machine Learning | Position: Trustworthy AI Suffers from Invariance Conflicts and Causality is The Solution | Position: Multi-Agent Explainability Needs Contracts Before Methods,"Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit | Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII) | Position: Anthropomorphic Misalignment Research Needs Stronger Evidence | Position: Stop Automating Peer Review Without Rigorous Evaluation | Large Language Models Develop Novel Social Biases Through Adaptive Exploration | Position: The AI Imperative: Scaling High-Quality Peer Review in Machine Learning | Position: Irresponsible AI: big tech’s influence on AI research and associated impacts | Position: Don't Just ""Fix it in Post'': A Science of AI Must Study Learning Dynamics"
38,"Theory, Optimization, and Algorithms","Quantum, matrix, and numerical optimization",medium,needs_review,manual confidence not high; small cluster,quantum / matrix / optimization / algorithm,35,1,0,3.09,1.13,quantum; matrix; optimization; algorithm; classical; algorithms; problem; quadratic; linear; quantum algorithm; problems; gradient; complexity; quantum computing; gpu; theory,Optimization (12); Theory (9); Unknown (4); Deep Learning (3); General Machine Learning (2),"Theory, optimization, and sampling (31); Systems, efficiency, and compression (17); Memorization, evaluation, and generalization (9); LLM reasoning and test-time compute (8); Agents, tools, and computer use (7)",9 (18); 22 (5); 28 (2); 21 (1); 25 (1),"Accelerating Regression Tasks with Quantum Algorithms | Matrix-Free GPU Semidefinite Programming for Quantum Ordered Search at the k=6 Frontier | An Exponential Separation Between Quantum and Quantum-Inspired Classical Algorithms for Linear Systems | Finding Stationary Points by Comparisons | QuantumBoost: A lazy, yet fast, quantum algorithm for learning with weak hypotheses | Exploiting Hankel-Toeplitz Structures for Fast Computation of Kernel Precision Matrices | Quantum Robust Inner Minimization for Reinforcement Learning with Quadratic Speed-Up in Query Complexity | Position: Quantum Deep Learning Still Needs a Quantum Leap",Optimal and Scalable MAPF via Multi-Marginal Optimal Transport and Schrödinger Bridges | An Embarrasingly Simple Way to Optimize Orthogonal Matrices at Scale | DASH: Faster Shampoo via Batched Block Preconditioning and Efficient Inverse-Root Solvers | A Penalty Approach For Differentiation Through Black-box Quadratic Programming Solvers | Exploiting Hankel-Toeplitz Structures for Fast Computation of Kernel Precision Matrices | An Exterior Method for Nonnegative Matrix Factorization | Ultrafast On-Chip Online Learning via Spline Locality in Kolmogorov–Arnold Networks | Discrete Adjoint Schrödinger Bridge Sampler
39,"AI for Science, Health, and Neuro",Time series and forecasting applications,medium,needs_review,manual confidence not high,time series / series / forecasting / time,160,3,0,3.11,0.74,time series; series; forecasting; time; series forecasting; temporal; applications time; applications; data; real; multivariate; real world; modeling; world; dynamics; datasets,Applications (96); Deep Learning (33); General Machine Learning (16); Unknown (7); Social Aspects (6),"Memorization, evaluation, and generalization (94); Safety, alignment, governance, and risk (64); Theory, optimization, and sampling (51); AI for science, health, and biology (46); Systems, efficiency, and compression (45)",18 (124); 17 (11); 15 (8); 23 (3); 13 (2),Towards a Unified Generative Model for Scarce Time Series with Domain Experts | Baguan-TS: dual in-context learning model for time series forecasting with covariates | From Text to Forecasts: Bridging Modality Gap with Temporal Evolution Semantic Space | Zeus: Towards Tuning-Free Foundation Model for Time Series Analysis | FlowState: Sampling-Rate‑Equivariant Time‑Series Forecasting | TsLLM: Augmenting LLMs for General Time Series Understanding and Prediction | Overcoming the Modality Gap in Context-Aided Forecasting | One Batch Is Enough: A Unified Dataset Condensation Framework for General Time Series Analysis,"From Text to Forecasts: Bridging Modality Gap with Temporal Evolution Semantic Space | Scalable Event Cloud Network for Event-based Classification | ConFlux: Multivariate Time Series in Flux, One Unified Forecast in Confluence | OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data | TSRBench: A Comprehensive Multi-task Multi-modal Time Series Reasoning Benchmark for Generalist Models | HEARTS: Benchmarking LLM Reasoning on Health Time Series | DAG: A Dual Correlation Network for Time Series Forecasting with Exogenous Variables | U-Cast: A Surprisingly Simple Frontier Probabilistic AI Weather Forecaster"
40,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",high,stable_seed,,agents / agent / evaluation / agentic,207,10,0,16.88,1.91,agents; agent; evaluation; agentic; llm; language; reasoning; multi; benchmark; tool; multi agent; large; large language; task; tasks; execution,Deep Learning (73); Applications (48); General Machine Learning (31); Unknown (29); Reinforcement Learning (12),"Agents, tools, and computer use (196); Memorization, evaluation, and generalization (164); LLM reasoning and test-time compute (139); RL for LLMs and verifiable rewards (76); Systems, efficiency, and compression (57)",11 (151); 20 (16); 1 (10); 28 (9); 13 (3),"FT-Dojo: Towards Autonomous LLM Fine-Tuning with Language Agents | ScaleEnv: Scaling Environment Synthesis from Scratch for Generalist Interactive Tool-Use Agent Training | VeRO: An Evaluation Harness for Agents to Optimize Agents | Beyond the Final Answer: Evaluating the Reasoning Trajectories of Tool-Augmented Agents | Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections | ComplexMCP: Evaluation of LLM Agents in Dynamic, Interdependent, and Large-Scale Tool Sandbox | AMA-Bench: Evaluating Long-Horizon Memory for Agentic Applications | Can Agents Generalize to the Open World? Unveiling the Fragility of Static Training in Tool Use",$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment | Monitoring Monitorability | Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning | VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics | CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability | daVinci-Dev: Agent-native Mid-training for Software Engineering | Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections | A Systematic Study of Behavioral Cloning for Scientific Data Annotation
41,"Graphs, Geometry, and Representation Learning",Equivariant graph and geometric networks,high,needs_review,small cluster,graph / networks / neural networks / graph neural,65,1,0,4.51,0.61,graph; networks; neural; neural networks; graph neural; gnns; graphs; learning graph; node; network; equivariant; deep; gnn; deep learning; message; message passing,Deep Learning (45); Unknown (6); General Machine Learning (5); Applications (5); Theory (2),"Theory, optimization, and sampling (29); Memorization, evaluation, and generalization (26); Systems, efficiency, and compression (17); Interpretability and mechanistic analysis (14); LLM reasoning and test-time compute (14)",5 (37); 22 (11); 17 (5); 27 (2); 15 (2),Unitary Convolutions for Message-passing and Positional Encodings on Directed Graphs | From Distribution to Geometry: Stable Graph Generalization via Invariant Barycenters | InvGNN: Learning Invertible Node Representations on Graphs | NNiT: Width-Agnostic Neural Network Generation with Structurally Aligned Weight Spaces | Graph Neural Networks Are Not Continuous Across Graph Resolutions | Rotary Position Encodings for Graphs | When Do Graph Foundation Models Transfer? A Data-Centric Theory | Sheaf Neural Networks on SPD Manifolds: Second-Order Geometric Representation Learning,Foundations of Equivariant Deep Learning: Unifying Graph and Sheaf Neural Networks | Who Said Neural Networks Aren't Linear? | On Efficient Scaling of GNNs via IO-Aware Layers Implementations | E2Former-V2: On-the-Fly Equivariant Attention with Linear Activation Memory | Equivariant Neural Networks for General Linear Symmetries on Lie Algebras | Smoothness Errors in Dynamics Models and How to Avoid Them | Beyond Structural Symmetries: Linear Mode Connectivity via Neuron Identifiability | Neural Feature Geometry Evolves as Discrete Ricci Flow
