priority_rank,task_id,priority_score,sprint,sprint_rank,event_id,title,claim_id,claim_theme,thesis_role,claim_decision,readiness_tier,area,subarea,task_focus,why_this_paper,claim_question,minimum_decision_needed,what_to_extract,support_signal,weakening_signal,blocking_risk,required_manual_fields,source_artifacts,writeback_targets,next_action
38,C07-61382,127,sprint_01,27,61382,Vision-aligned Latent Reasoning for Multi-Modal Large Language Model,C07,Artifact visibility,supporting_hypothesis,not_ready,directional_unreviewed,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,artifact_reproducibility,votes=56; github_stars=6773; taxonomy_review; artifact_manual_check; evidence=medium,C07 (Artifact visibility): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; artifact checks 0/5,"Benchmark / evaluation: To address this issue, we introduce Vision-aligned Latent Reasoning (VaLR), a simple, yet effective reasoning framework that dynamically generates vision-aligned latent tokens before each Chain of Thought reasoning step, guiding the model to reason based on perceptual cues in the latent space. ; Tags: Reasoning / test-time compute; Transformer / attention; setting: vision/video; language/llm; abstract cues: benchmark. ; check theorem assumptions and empirical/theory split ; Resolve whether the assigned area/subarea is truly the main contribution. Determine whether the GitHub link is a real paper artifact or a template/index/project page. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the linked artifact is real and inspectable, with enough code/data/checkpoints/examples to strengthen artifact-visibility claims.","Weakens if the repository is absent, stale, non-runnable, only a project page, lacks license/data/checkpoints, or cannot reproduce the claimed result.","Repository links must be manually inspected for runnable code, data/checkpoints, license, and stale/broken state.",contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/61382-vision-aligned-latent-reasoning-for-multi-modal-large-language-model.md ; reports/claim_validation_packets/c07-artifact-visibility.md ; reports/claim_evidence_dossiers/c07-artifact-visibility.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C07::61382,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
39,C07-64128,128,sprint_01,28,64128,AuTAgent: A Reinforcement Learning Framework for Tool-Augmented Audio Reasoning,C07,Artifact visibility,supporting_hypothesis,not_ready,directional_unreviewed,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",artifact_reproducibility,votes=8; github_stars=5063; taxonomy_review; artifact_manual_check; evidence=medium,C07 (Artifact visibility): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; artifact checks 0/5,"Benchmark / evaluation: To address this, we propose **AuTAgent** (**Au**dio **T**ool **Agent**), a reinforcement learning framework that learns when and which tools to invoke. ; Tags: RL / policy optimization; Reasoning / test-time compute; Agents / tool use; Compression / efficiency; setting: math/code/verifiable; language/llm; abstract cues: reinforcement learning; benchmark; agent; tool. ; metrics: accuracy; reward; check theorem assumptions and empirical/theory split ; Resolve whether the assigned area/subarea is truly the main contribution. Determine whether the GitHub link is a real paper artifact or a template/index/project page. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the linked artifact is real and inspectable, with enough code/data/checkpoints/examples to strengthen artifact-visibility claims.","Weakens if the repository is absent, stale, non-runnable, only a project page, lacks license/data/checkpoints, or cannot reproduce the claimed result.","Repository links must be manually inspected for runnable code, data/checkpoints, license, and stale/broken state.",contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/64128-autagent-a-reinforcement-learning-framework-for-tool-augmented-audio-r.md ; reports/claim_validation_packets/c07-artifact-visibility.md ; reports/claim_evidence_dossiers/c07-artifact-visibility.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C07::64128,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
40,C07-65423,129,sprint_01,29,65423,Autoregressive Direct Preference Optimization,C07,Artifact visibility,supporting_hypothesis,not_ready,directional_unreviewed,"LLM Reasoning, Post-Training, and RLVR",LLM preference tuning and alignment training,artifact_reproducibility,votes=6; github_stars=5063; taxonomy_review; artifact_manual_check; evidence=medium,C07 (Artifact visibility): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; artifact checks 0/5,"Method / algorithm: Furthermore, through theoretical analysis of ADPO, we show that there exist two length measures to be considered when designing DPO-based algorithms: the token length $\mu$ and the feedback length $\mu'$. ; Tags: RL / policy optimization; LLM post-training; setting: language/llm; theory/synthetic; abstract cues: no obvious abstract keyword cue. ; check human-study or user-evaluation setup ; Resolve whether the assigned area/subarea is truly the main contribution. Determine whether the GitHub link is a real paper artifact or a template/index/project page. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the linked artifact is real and inspectable, with enough code/data/checkpoints/examples to strengthen artifact-visibility claims.","Weakens if the repository is absent, stale, non-runnable, only a project page, lacks license/data/checkpoints, or cannot reproduce the claimed result.","Repository links must be manually inspected for runnable code, data/checkpoints, license, and stale/broken state.",contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/65423-autoregressive-direct-preference-optimization.md ; reports/claim_validation_packets/c07-artifact-visibility.md ; reports/claim_evidence_dossiers/c07-artifact-visibility.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C07::65423,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
41,C07-64301,135,sprint_01,35,64301,DFlash: Block Diffusion for Flash Speculative Decoding,C07,Artifact visibility,supporting_hypothesis,not_ready,directional_unreviewed,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,artifact_reproducibility,votes=153; github_stars=5451; taxonomy_review; evidence=medium,C07 (Artifact visibility): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; artifact checks 0/5,"System / infrastructure: In this paper, we introduce **DFlash**, a speculative decoding framework that employs a lightweight block diffusion model for parallel drafting. ; Tags: Reasoning / test-time compute; Diffusion / flow; setting: language/llm; abstract cues: diffusion. ; metrics: latency; check theorem assumptions and empirical/theory split ; Resolve whether the assigned area/subarea is truly the main contribution. Check artifact type, license/readme quality, and whether reproduction assets are present. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the linked artifact is real and inspectable, with enough code/data/checkpoints/examples to strengthen artifact-visibility claims.","Weakens if the repository is absent, stale, non-runnable, only a project page, lacks license/data/checkpoints, or cannot reproduce the claimed result.","Repository links must be manually inspected for runnable code, data/checkpoints, license, and stale/broken state.",contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/64301-dflash-block-diffusion-for-flash-speculative-decoding.md ; reports/claim_validation_packets/c07-artifact-visibility.md ; reports/claim_evidence_dossiers/c07-artifact-visibility.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C07::64301,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
42,C06-65901,204,sprint_01,4,65901,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,C06,External trend context,context_frame,context_or_workflow_only,context_only_unreviewed,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",trend_context_guardrail,votes=365; github_stars=627; taxonomy_review; evidence=low,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,none,"Position / conceptual: We show that in smaller or insufficiently trained models such expert solutions occupy a negligible fraction of the volume of this distribution, making their discovery reliant on structured optimization methods such as gradient descent. ; Tags: RL / policy optimization; LLM post-training; setting: no evaluation-setting tag; abstract cues: gradient. ; identify baselines, datasets, metrics, ablations, and negative cases from the PDF ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Supports only as context if the paper illustrates why arXiv/venue trend language must be caveated; do not treat as quality evidence.,Weakens unsafe trend language if the paper shows arXiv query terms do not map cleanly to the accepted-paper taxonomy.,Use only as external context; do not promote to a venue-quality or acceptance trend claim.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/65901-neural-thickets-diverse-task-experts-are-dense-around-pretrained-weigh.md ; reports/claim_validation_packets/c06-external-trend-context.md ; reports/claim_evidence_dossiers/c06-external-trend-context.md ; reports/area_briefing_cards/systems-and-efficient-foundation-models.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C06::65901,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
43,C06-64121,212,sprint_01,12,64121,Reinforcement Learning via Self-Distillation,C06,External trend context,context_frame,context_or_workflow_only,context_only_unreviewed,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",trend_context_guardrail,votes=718; github_stars=1008; taxonomy_review; evidence=medium,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,none,"Benchmark / evaluation: Large language models are increasingly post-trained with reinforcement learning in verifiable domains such as code and math. ; Tags: RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; Diffusion / flow; setting: math/code/verifiable; language/llm; abstract cues: reinforcement learning; tool. ; benchmarks: LiveCodeBench; metrics: accuracy; reward; check theorem assumptions and empirical/theory split ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Supports only as context if the paper illustrates why arXiv/venue trend language must be caveated; do not treat as quality evidence.,Weakens unsafe trend language if the paper shows arXiv query terms do not map cleanly to the accepted-paper taxonomy.,Use only as external context; do not promote to a venue-quality or acceptance trend claim.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/64121-reinforcement-learning-via-self-distillation.md ; reports/claim_validation_packets/c06-external-trend-context.md ; reports/claim_evidence_dossiers/c06-external-trend-context.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C06::64121,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
44,C06-63333,214,sprint_01,14,63333,GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization,C06,External trend context,context_frame,context_or_workflow_only,context_only_unreviewed,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",trend_context_guardrail,votes=507; github_stars=489; taxonomy_review; evidence=medium,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,none,"Theory / proof: In this paper, we demonstrate that directly applying GRPO to normalize distinct rollout reward combinations causes them to collapse into identical advantage values, reducing the resolution of the training signal and resulting in suboptimal convergence and, in some cases, early training failure. ; Tags: RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; setting: math/code/verifiable; language/llm; abstract cues: reinforcement learning; tool. ; metrics: accuracy; reward; check theorem assumptions and empirical/theory split; check human-study or user-evaluation setup ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Supports only as context if the paper illustrates why arXiv/venue trend language must be caveated; do not treat as quality evidence.,Weakens unsafe trend language if the paper shows arXiv query terms do not map cleanly to the accepted-paper taxonomy.,Use only as external context; do not promote to a venue-quality or acceptance trend claim.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/63333-gdpo-group-reward-decoupled-normalization-policy-optimization-for-mult.md ; reports/claim_validation_packets/c06-external-trend-context.md ; reports/claim_evidence_dossiers/c06-external-trend-context.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C06::63333,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
45,C06-61870,215,sprint_01,15,61870,mHC: Manifold-Constrained Hyper-Connections,C06,External trend context,context_frame,context_or_workflow_only,context_only_unreviewed,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",trend_context_guardrail,votes=696; github_stars=367; taxonomy_review; evidence=medium,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,none,"System / infrastructure: To address these challenges, we propose Manifold-Constrained Hyper-Connections (mHC), a general framework that projects the residual connection space of HC onto a specific manifold to restore the identity mapping property, while incorporating rigorous infrastructure optimization to ensure efficiency. ; Tags: Graphs / geometry; setting: language/llm; abstract cues: no obvious abstract keyword cue. ; metrics: memory; check theorem assumptions and empirical/theory split ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Supports only as context if the paper illustrates why arXiv/venue trend language must be caveated; do not treat as quality evidence.,Weakens unsafe trend language if the paper shows arXiv query terms do not map cleanly to the accepted-paper taxonomy.,Use only as external context; do not promote to a venue-quality or acceptance trend claim.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/61870-mhc-manifold-constrained-hyper-connections.md ; reports/claim_validation_packets/c06-external-trend-context.md ; reports/claim_evidence_dossiers/c06-external-trend-context.md ; reports/area_briefing_cards/systems-and-efficient-foundation-models.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C06::61870,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
46,C06-62943,216,sprint_01,16,62943,Evolution Strategies at the Hyperscale,C06,External trend context,context_frame,context_or_workflow_only,context_only_unreviewed,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",trend_context_guardrail,votes=405; github_stars=346; taxonomy_review; evidence=medium,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,none,"System / infrastructure: We introduce Evolution Guided GeneRal Optimisation via Low-rank Learning (EGGROLL), which improves arithmetic intensity by structuring individual perturbations as rank-$r$ matrices, resulting in a hundredfold increase in training speed for billion-parameter models at large population sizes, achieving up to 91\% of... ; Tags: RL / policy optimization; LLM post-training; Reasoning / test-time compute; setting: language/llm; theory/synthetic; abstract cues: no obvious abstract keyword cue. ; metrics: throughput; check theorem assumptions and empirical/theory split ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Supports only as context if the paper illustrates why arXiv/venue trend language must be caveated; do not treat as quality evidence.,Weakens unsafe trend language if the paper shows arXiv query terms do not map cleanly to the accepted-paper taxonomy.,Use only as external context; do not promote to a venue-quality or acceptance trend claim.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/62943-evolution-strategies-at-the-hyperscale.md ; reports/claim_validation_packets/c06-external-trend-context.md ; reports/claim_evidence_dossiers/c06-external-trend-context.md ; reports/area_briefing_cards/systems-and-efficient-foundation-models.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C06::62943,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
47,C06-64488,218,sprint_01,18,64488,Agent Learning via Early Experience,C06,External trend context,context_frame,context_or_workflow_only,context_only_unreviewed,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",trend_context_guardrail,votes=532; github_stars=148; taxonomy_review; evidence=medium,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,none,"Method / algorithm: Within this paradigm, we study two strategies of using such data: (1) implicit world modeling, which uses collected states to ground the policy in environment dynamics; and (2) self-reflection, where the agent learns from its suboptimal actions to improve reasoning and decision-making. ; Tags: RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; setting: math/code/verifiable; language/llm; abstract cues: reinforcement learning; agent; tool. ; metrics: reward; check theorem assumptions and empirical/theory split; check human-study or user-evaluation setup; check sim-to-real or deployment evidence ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Supports only as context if the paper illustrates why arXiv/venue trend language must be caveated; do not treat as quality evidence.,Weakens unsafe trend language if the paper shows arXiv query terms do not map cleanly to the accepted-paper taxonomy.,Use only as external context; do not promote to a venue-quality or acceptance trend claim.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/64488-agent-learning-via-early-experience.md ; reports/claim_validation_packets/c06-external-trend-context.md ; reports/claim_evidence_dossiers/c06-external-trend-context.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C06::64488,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
48,C06-68817,232,sprint_01,32,68817,Process Reward Models That Think,C06,External trend context,context_frame,context_or_workflow_only,context_only_unreviewed,"LLM Reasoning, Post-Training, and RLVR",RL for reasoning models and verifiable rewards,trend_context_guardrail,votes=1815; github_stars=89; evidence=medium,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,none,"Benchmark / evaluation: We propose ThinkPRM, a long CoT verifier fine-tuned on orders of magnitude fewer process labels than those required by discriminative PRMs. ; Tags: RL / policy optimization; LLM post-training; Reasoning / test-time compute; setting: math/code/verifiable; language/llm; abstract cues: benchmark. ; benchmarks: ProcessBench; GPQA-Diamond; LiveCodeBench; metrics: reward ; Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Supports only as context if the paper illustrates why arXiv/venue trend language must be caveated; do not treat as quality evidence.,Weakens unsafe trend language if the paper shows arXiv query terms do not map cleanly to the accepted-paper taxonomy.,Use only as external context; do not promote to a venue-quality or acceptance trend claim.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/68817-process-reward-models-that-think.md ; reports/claim_validation_packets/c06-external-trend-context.md ; reports/claim_evidence_dossiers/c06-external-trend-context.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C06::68817,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
49,C06-63436,233,sprint_01,33,63436,xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction,C06,External trend context,context_frame,context_or_workflow_only,context_only_unreviewed,Systems and Efficient Foundation Models,Long-context attention and KV-cache compression,trend_context_guardrail,votes=518; github_stars=52; evidence=medium,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,none,"System / infrastructure: We show, via Centered Kernel Alignment (CKA), that the dominant singular vectors of KV-Cache are well aligned across layers. ; Tags: LLM post-training; Agents / tool use; Transformer / attention; Compression / efficiency; setting: math/code/verifiable; language/llm; abstract cues: no obvious abstract keyword cue. ; metrics: accuracy; latency; throughput; memory; check theorem assumptions and empirical/theory split ; Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Supports only as context if the paper illustrates why arXiv/venue trend language must be caveated; do not treat as quality evidence.,Weakens unsafe trend language if the paper shows arXiv query terms do not map cleanly to the accepted-paper taxonomy.,Use only as external context; do not promote to a venue-quality or acceptance trend claim.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/63436-xkv-cross-layer-kv-cache-compression-via-aligned-singular-vector-extra.md ; reports/claim_validation_packets/c06-external-trend-context.md ; reports/claim_evidence_dossiers/c06-external-trend-context.md ; reports/area_briefing_cards/systems-and-efficient-foundation-models.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C06::63436,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
50,C08-62989,301,sprint_01,1,62989,How much can language models memorize?,C08,Validation priority,workflow_claim,context_or_workflow_only,workflow_claim_unreviewed,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,workflow_validation,oral; Outstanding Paper Honorable Mention; votes=271; github_stars=2; taxonomy_review; evidence=medium,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,none,"Dataset / data resource: We propose a new method for estimating how much a model knows about a datapoint and use it to measure the capacity of modern language models. ; Tags: Transformer / attention; setting: language/llm; abstract cues: transformer; dataset. ; identify baselines, datasets, metrics, ablations, and negative cases from the PDF ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper exposes a taxonomy, claim, or evidence ambiguity that validates the need for manual review gates.",Weakens workflow confidence if the paper is easy to classify and does not touch any high-risk boundary or claim ambiguity.,Keep as a process/workflow claim; acceptance means the validation workflow remains explicit and auditable.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/62989-how-much-can-language-models-memorize.md ; reports/claim_validation_packets/c08-validation-priority.md ; reports/claim_evidence_dossiers/c08-validation-priority.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C08::62989,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
51,C08-66206,302,sprint_01,2,66206,To Grok Grokking: Provable Grokking in Ridge Regression,C08,Validation priority,workflow_claim,context_or_workflow_only,workflow_claim_unreviewed,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,workflow_validation,oral; Outstanding Paper Honorable Mention; votes=7; taxonomy_review; evidence=low,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,none,Theory / proof: We study *grokking* - the onset of generalization long after overfitting - in a classical ridge regression setting. ; Tags: no method-family tag; setting: theory/synthetic; abstract cues: gradient. ; check theorem assumptions and empirical/theory split ; Resolve whether the assigned area/subarea is truly the main contribution. Identify the technical reason for high program signal and whether public attention misses it. | Use high-signal papers to stress-test taxonomy boundaries. ; No obvious artifact link; record none/not_applicable unless PDF shows a release.,"Supports if the paper exposes a taxonomy, claim, or evidence ambiguity that validates the need for manual review gates.",Weakens workflow confidence if the paper is easy to classify and does not touch any high-risk boundary or claim ambiguity.,Keep as a process/workflow claim; acceptance means the validation workflow remains explicit and auditable.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use,reports/review_reading_briefs/66206-to-grok-grokking-provable-grokking-in-ridge-regression.md ; reports/claim_validation_packets/c08-validation-priority.md ; reports/claim_evidence_dossiers/c08-validation-priority.md ; reports/area_briefing_cards/theory-optimization-and-algorithms.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C08::66206,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
