venue,year,area,paper_count,share,high_confidence_count,medium_confidence_count,low_confidence_count,uncoded_count,abstract_available_count,representative_titles
NeurIPS 2025,2025,"LLM Reasoning, Post-Training, and RLVR",501,0.0855,11,85,405,0,0,scPilot: Large Language Model Reasoning Toward Automated Single-Cell Analysis and Discovery | SIGMA: Refining Large Language Model Reasoning via Sibling-Guided Monte Carlo Augmentation | ReCAP: Recursive Context-Aware Reasoning and Planning for Large Language Model Agents | PlanU: Large Language Model Reasoning through Planning under Uncertainty | MF-LLM: Simulating Population Decision Dynamics via a Mean-Field Large Language Model Framework | LLM-DAMVC: A Large Language Model Assisted Dynamic Agent for Multi-View Clustering | Incentivizing Dual Process Thinking for Efficient Large Language Model Reasoning | DynaAct: Large Language Model Reasoning with Dynamic Action Spaces
NeurIPS 2025,2025,"AI for Science, Health, and Neuro",490,0.0836,42,258,190,0,0,"PIPE: Physics-Informed Position Encoding for Alignment of Satellite Images and Time Series in Typhoon Forecasting | MIRA: Medical Time Series Foundation Model for Real-World Health Data | Learning Urban Climate Dynamics via Physics-Guided Urban Surface–Atmosphere Interactions | Simultaneous Modeling of Protein Conformation and Dynamics via Autoregression | JAMUN: Bridging Smoothed Molecular Dynamics and Score-Based Learning for Conformational Ensemble Generation | FlashMD: long-stride, universal prediction of molecular dynamics | DynaPhArM: Adaptive and Physics-Constrained Modeling for Target-Drug Complexes with Drug-Specific Adaptations | Controllable 3D Molecular Generation for Structure-Based Drug Design Through Bayesian Flow Networks and Gradient Integration"
NeurIPS 2025,2025,"Safety, Governance, Privacy, and Society",424,0.0724,21,199,204,0,0,The VLLM Safety Paradox: Dual Ease in Jailbreak Attack and Defense | CARES: Comprehensive Evaluation of Safety and Adversarial Robustness in Medical LLMs | Whose View of Safety? A Deep DIVE Dataset for Pluralistic Alignment of Text-to-Image Models | T2SMark: Balancing Robustness and Diversity in Noise-as-Watermark for Diffusion Models | SafeVLA: Towards Safety Alignment of Vision-Language-Action Model via Constrained Learning | Distributive Fairness in Large Language Models: Evaluating Alignment with Human Values | Boosting Adversarial Transferability with Spatial Adversarial Alignment | AgentAuditor: Human-level Safety and Security Evaluation for LLM Agents
NeurIPS 2025,2025,Reinforcement Learning and Control,365,0.0623,45,229,91,0,0,"Off-policy Reinforcement Learning with Model-based Exploration Augmentation | LLM-Explorer: A Plug-in Reinforcement Learning Policy Exploration Enhancement Driven by Large Language Models | Optimal Single-Policy Sample Complexity and Transient Coverage for Average-Reward Offline RL | Improving Reward Models with Proximal Policy Exploration for Preference-Based Reinforcement Learning | Exploration from a Primal-Dual Lens: Value-Incentivized Actor-Critic Methods for Sample-Efficient Online RL | Uni-RL: Unifying Online and Offline RL via Implicit Value Regularization | Uncertainty-Based Smooth Policy Regularisation for Reinforcement Learning with Few Demonstrations | Trajectory Balance with Asynchrony: Decoupling Exploration and Learning for Fast, Scalable LLM Post-Training"
NeurIPS 2025,2025,Generative Modeling,349,0.0596,11,167,171,0,0,Two-Steps Diffusion Policy for Robotic Manipulation via Genetic Denoising | Shortcutting Pre-trained Flow Matching Diffusion Models is Almost Free Lunch | Rao-Blackwell Gradient Estimators for Equivariant Denoising Diffusion | RODS: Robust Optimization Inspired Diffusion Sampling for Detecting and Reducing Hallucination in Generative Models | PoGDiff: Product-of-Gaussians Diffusion Models for Imbalanced Text-to-Image Generation | Physics-Constrained Flow Matching: Sampling Generative Models with Hard Constraints | Generative Modeling of Full-Atom Protein Conformations using Latent Diffusion on Graph Embeddings | Entropic Time Schedulers for Generative Diffusion Models
NeurIPS 2025,2025,"Graphs, Geometry, and Representation Learning",345,0.0589,17,144,184,0,0,TopER: Topological Embeddings in Graph Representation Learning | Permutation Equivariant Neural Controlled Differential Equations for Dynamic Graph Representation Learning | seq-JEPA: Autoregressive Predictive Learning of Invariant-Equivariant World Models | You Only Spectralize Once: Taking a Spectral Detour to Accelerate Graph Neural Network | Towards Multiscale Graph-based Protein Learning with Geometric Secondary Structural Motifs | Toward a Unified Geometry Understanding : Riemannian Diffusion Framework for Graph Generation and Prediction | Soft Task-Aware Routing of Experts for Equivariant Representation Learning | Simple and Efficient Heterogeneous Temporal Graph Neural Network
NeurIPS 2025,2025,"Data-Centric, Causal, and Federated ML",281,0.048,2,70,209,0,0,Graph Data Selection for Domain Adaptation: A Model-Free Approach | Curious Causality-Seeking Agents Learn Meta Causal World | Turning the Tables: Enabling Backward Transfer via Causal-Aware LoRA in Continual Learning | Resource-Constrained Federated Continual Learning: What Does Matter? | Learning Reconfigurable Representations for Multimodal Federated Learning with Missing Data | Improving the Generation and Evaluation of Synthetic Data for Downstream Medical Causal Inference | Gains: Fine-grained Federated Domain Adaptation in Open Set | Federated Continual Learning via Orchestrating Multi-Scale Expertise
NeurIPS 2025,2025,"Agents, Code, and Tool Use",214,0.0365,30,77,107,0,0,MALinZero: Efficient Low-Dimensional Search for Mastering Complex Multi-Agent Planning | Learning and Planning Multi-Agent Tasks via an MoE-based World Model | Wonder Wins Ways: Curiosity-Driven Exploration through Multi-Agent Contextual Calibration | Towards Principled Unsupervised Multi-Agent Reinforcement Learning | Sequential Multi-Agent Dynamic Algorithm Configuration | Revisiting Multi-Agent World Modeling from a Diffusion-Inspired Perspective | Regret Lower Bounds for Decentralized Multi-Agent Stochastic Shortest Path Problems | ReMA: Learning to Meta-Think for LLMs with Multi-agent Reinforcement Learning
NeurIPS 2025,2025,Systems and Efficient Foundation Models,130,0.0222,0,24,106,0,0,UniGist: Towards General and Hardware-aligned Sequence-level Long Context Compression | Technical Debt in In-Context Learning: Diminishing Efficiency in Long Context | SmallKV: Small Model Assisted Compensation of KV Cache Compression for Efficient LLM Inference | SALS: Sparse Attention in Latent Space for KV Cache Compression | R-KV: Redundancy-aware KV Cache Compression for Reasoning Models | NSNQuant: A Double Normalization Approach for Calibration-Free Low-Bit Vector Quantization of KV Cache | Memory-Efficient Visual Autoregressive Modeling with Scale-Aware KV Cache Compression | MUSTAFAR: Promoting Unstructured Sparsity for KV Cache Pruning in LLM Inference
NeurIPS 2025,2025,"Robotics, Embodiment, and World Models",90,0.0154,10,55,25,0,0,VLA-Cache: Efficient Vision-Language-Action Manipulation via Adaptive Token Caching | EnerVerse: Envisioning Embodied Future Space for Robotics Manipulation | Robot-R1: Reinforcement Learning for Enhanced Embodied Reasoning in Robotics | VLA-OS: Structuring and Dissecting Planning Representations and Paradigms in Vision-Language-Action Models | Taccel: Scaling Up Vision-based Tactile Robotics via High-performance GPU Simulation | Synthesizing Photorealistic and Dynamic Urban Environments for Multimodal Robot Navigation and Collaboration | Robo2VLM: Improving Visual Question Answering using Large-Scale Robot Manipulation Data | LabUtopia: High-Fidelity Simulation and Hierarchical Benchmark for Scientific Embodied Agents
