area,event_id,global_review_rank,area_review_rank,title,subarea,selection_reason,reviewer,review_date,review_source,manual_validated,manual_primary_contribution_type,manual_method_family,manual_benchmarks,manual_datasets,manual_metrics,manual_artifact_status,manual_result_character,manual_fault_line_relevance,manual_notes
"Safety, Governance, Privacy, and Society",67187,174,16,Position: Adversarial ML for LLMs Is Not Making Any Progress,"Adversarial safety, attacks, and security",low_evidence_code_confidence,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",62751,175,15,Who’s in Charge? Disempowerment Patterns in Real-World LLM Usage,"Position papers, policy, and social impacts",low_evidence_code_confidence,,,,,,,,,,,,,
Generative Modeling,65646,176,8,Causal Forcing: Autoregressive Diffusion Distillation Done Right for High-Quality Real-Time Video Generation,Image/video diffusion and flow generation,public_attention_not_program_signal,,,,,,,,,,,,,
Reinforcement Learning and Control,63146,178,3,Distributional Inverse Reinforcement Learning,"Core RL, offline RL, and policy optimization",fault_line_representative,,,,,,,,,,,,,
Generative Modeling,63515,179,7,One-step Latent-free Image Generation with Pixel Mean Flows,Image/video diffusion and flow generation,public_attention_not_program_signal,,,,,,,,,,,,,
Reinforcement Learning and Control,65047,181,1,On Computation and Reinforcement Learning,"Core RL, offline RL, and policy optimization",fault_line_representative,,,,,,,,,,,,,
Generative Modeling,62407,182,10,Deep Forcing: Training-Free Long Video Generation with Deep Sink and Participative Compression,Image/video diffusion and flow generation,public_attention_not_program_signal,,,,,,,,,,,,,
Reinforcement Learning and Control,61858,183,9,How Does the Lagrangian Guide Safe Reinforcement Learning through Diffusion Models?,"Core RL, offline RL, and policy optimization",public_attention_not_program_signal,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",62126,184,6,A Recursive Decomposition Framework for Causal Structure Learning in the Presence of Latent Variables,Causal inference and causal discovery,fault_line_representative,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",62307,185,4,LASER: Learning Active Sensing for Continuum Field Reconstruction,"Physical sciences, chemistry, and climate",fault_line_representative,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",63808,186,4,DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation,Causal inference and causal discovery,fault_line_representative,,,,,,,,,,,,,
Generative Modeling,65046,187,9,Dimension-free convergence of diffusion models for approximate Gaussian mixtures,"Diffusion sampling, transport, and inverse problems",public_attention_not_program_signal,,,,,,,,,,,,,
Generative Modeling,66340,188,6,Error Propagation Mechanisms and Compensation Strategies for Quantized Diffusion Models,Image/video diffusion and flow generation,fault_line_representative,,,,,,,,,,,,,
Generative Modeling,63314,189,3,High-accuracy and dimension-free sampling with diffusions,"Diffusion sampling, transport, and inverse problems",fault_line_representative,,,,,,,,,,,,,
Generative Modeling,66025,190,5,Rex: A Family of Reversible Exponential (Stochastic) Runge-Kutta Solvers,"Diffusion sampling, transport, and inverse problems",fault_line_representative,,,,,,,,,,,,,
Generative Modeling,64426,191,4,Transforming Weather Data from Pixel to Latent Space,Image/video diffusion and flow generation,fault_line_representative,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",65858,192,5,PhenoBrain: Phenotype-Conditioned Long-Range Communication for Multi-Modal Brain Network Analysis,Graph neural networks and graph learning,fault_line_representative,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",65099,193,1,Which Algorithms Can Graph Neural Networks Learn?,Graph neural networks and graph learning,fault_line_representative,,,,,,,,,,,,,
Reinforcement Learning and Control,63070,194,4,Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-dimensional Control Tasks,"Core RL, offline RL, and policy optimization",fault_line_representative,,,,,,,,,,,,,
Reinforcement Learning and Control,61049,195,2,Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization,"Core RL, offline RL, and policy optimization",fault_line_representative,,,,,,,,,,,,,
Reinforcement Learning and Control,63177,196,8,Stabilizing MoE Reinforcement Learning by Aligning Training and Inference Routers,"Core RL, offline RL, and policy optimization",public_attention_not_program_signal,,,,,,,,,,,,,
Reinforcement Learning and Control,63664,197,5,Stabilizing the Q-Gradient Field for Policy Smoothness in Actor-Critic Methods,"Core RL, offline RL, and policy optimization",fault_line_representative,,,,,,,,,,,,,
Reinforcement Learning and Control,65169,198,6,Video-Based Optimal Transport for Feedback-Efficient Offline Preference-Based Reinforcement Learning,"Core RL, offline RL, and policy optimization",fault_line_representative,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",64567,199,13,Semantic Tube Prediction: Beating LLM Data Efficiency with JEPA,Geometric representation learning and manifolds,taxonomy_boundary_cluster,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",61249,200,16,Scaling Vision Transformers for Functional MRI with Flat Maps,Spiking neural networks and neural signals,taxonomy_boundary_cluster,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",61927,201,12,A Deep Learning Model of Mental Rotation Informed by Interactive VR Experiments,Geometric representation learning and manifolds,taxonomy_boundary_cluster,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",64453,202,14,Dynamics Reveals Structure: Challenging the Linear Propagation Assumption,Equivariant graph and geometric networks,taxonomy_boundary_cluster,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",63757,203,16,From Directions to Regions: Decomposing Activations in Language Models via Local Geometry,Geometric representation learning and manifolds,taxonomy_boundary_cluster,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",62363,204,15,Learning Multi-Agent Coordination via Sheaf-ADMM,Equivariant graph and geometric networks,taxonomy_boundary_cluster,,,,,,,,,,,,,
Generative Modeling,61932,207,13,Conditional Diffusion Sampling,"Diffusion sampling, transport, and inverse problems",low_evidence_code_confidence,,,,,,,,,,,,,
Reinforcement Learning and Control,64761,208,12,Intentional Updates for Streaming Reinforcement Learning,"Core RL, offline RL, and policy optimization",low_evidence_code_confidence,,,,,,,,,,,,,
Generative Modeling,63642,209,16,Learning to Watermark in the Latent Space of Generative Models,Image/video diffusion and flow generation,low_evidence_code_confidence,,,,,,,,,,,,,
Reinforcement Learning and Control,62436,210,14,Stable Deep Reinforcement Learning via Isotropic Gaussian Representations,"Core RL, offline RL, and policy optimization",low_evidence_code_confidence,,,,,,,,,,,,,
Generative Modeling,66522,211,14,Evaluating the Representation Space of Diffusion Models via Self-Supervised Principles,Image/video diffusion and flow generation,low_evidence_code_confidence,,,,,,,,,,,,,
Generative Modeling,66665,212,15,Generation is Required for Data-Efficient Perception,Image/video diffusion and flow generation,low_evidence_code_confidence,,,,,,,,,,,,,
Reinforcement Learning and Control,63499,213,15,BiTrajDiff: Bidirectional Trajectory Generation with Diffusion Models for Offline Reinforcement Learning,"Core RL, offline RL, and policy optimization",low_evidence_code_confidence,,,,,,,,,,,,,
Reinforcement Learning and Control,64321,214,16,Non-Uniform Noise-to-Signal Ratio in the REINFORCE Policy-Gradient Estimator,"Core RL, offline RL, and policy optimization",low_evidence_code_confidence,,,,,,,,,,,,,
Reinforcement Learning and Control,64599,215,13,Offline Reinforcement Learning with Generative Trajectory Policies,"Core RL, offline RL, and policy optimization",low_evidence_code_confidence,,,,,,,,,,,,,
Reinforcement Learning and Control,62698,216,11,What Does Flow-Matching Bring to TD-Learning?,"Core RL, offline RL, and policy optimization",low_evidence_code_confidence,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",62819,217,11,Contrastive Representation Regularization for Vision-Language-Action Models,Vision-language-action models and robotic manipulation,low_evidence_code_confidence,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",63978,218,14,Cross-Embodiment Robot Foundation World Models with Latent Actions,Vision-language-action models and robotic manipulation,low_evidence_code_confidence,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",61426,219,15,Joint-Space Empowerment as a Theory of Dexterous Motor Coordination,Vision-language-action models and robotic manipulation,low_evidence_code_confidence,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",64730,220,16,Learning to Move Before Learning to Do: Task-Agnostic pretraining for VLAs,Vision-language-action models and robotic manipulation,low_evidence_code_confidence,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",64033,221,13,SKETCH: Semantic Key-Point Conditioning for Long-Horizon Vessel Trajectory Prediction,Vision-language-action models and robotic manipulation,low_evidence_code_confidence,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",65669,222,12,"Tabero: Learning Gentle Manipulation with Closed-Loop Force Feedback from Vision, Touch, and Language",Vision-language-action models and robotic manipulation,low_evidence_code_confidence,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",62854,223,7,GeoPT: Scaling Physics Simulation via Lifted Geometric Pre-Training,"Physical sciences, chemistry, and climate",public_attention_not_program_signal,,,,,,,,,,,,,
Reinforcement Learning and Control,61517,224,10,Just-In-Time Reinforcement Learning: Continual Learning in LLM Agents Without Gradient Updates,"Core RL, offline RL, and policy optimization",public_attention_not_program_signal,,,,,,,,,,,,,
